TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_2;FCR_ACT_lag_3;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_1;PAKAN_ACT_GR/EK_lag_2;PAKAN_ACT_GR/EK_lag_3;PAKAN_ACT_GR/EK_lag_7;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_1;JML_DEPLESI_lag_2;JML_DEPLESI_lag_3;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;ABW_ACT_lag_1;ABW_ACT_lag_2;ABW_ACT_lag_3;ABW_ACT_lag_7;ABW_ACT_lag_14;DELTA_FCR_lag_1;DELTA_FCR_lag_2;DELTA_FCR_lag_3;DELTA_FCR_lag_7;DELTA_FCR_lag_14;DELTA_PAKAN_GR/EKOR_lag_1;DELTA_PAKAN_GR/EKOR_lag_2;DELTA_PAKAN_GR/EKOR_lag_3;DELTA_PAKAN_GR/EKOR_lag_7;DELTA_PAKAN_GR/EKOR_lag_14;DELTA_DG_lag_1;DELTA_DG_lag_2;DELTA_DG_lag_3;DELTA_DG_lag_7;DELTA_DG_lag_14;PAKAN_ACT_GR/EK_rolling_mean_3;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_min_3;PAKAN_ACT_GR/EK_rolling_max_3;PAKAN_ACT_GR/EK_rolling_mean_7;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_min_7;PAKAN_ACT_GR/EK_rolling_max_7;PAKAN_ACT_GR/EK_rolling_mean_14;PAKAN_ACT_GR/EK_rolling_std_14;PAKAN_ACT_GR/EK_rolling_min_14;PAKAN_ACT_GR/EK_rolling_max_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_mean_7;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_max_7;DG_ACT_rolling_mean_14;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;DG_ACT_rolling_max_14;MATI_rolling_mean_3;MATI_rolling_std_3;MATI_rolling_min_3;MATI_rolling_max_3;MATI_rolling_mean_7;MATI_rolling_std_7;MATI_rolling_min_7;MATI_rolling_max_7;MATI_rolling_mean_14;MATI_rolling_std_14;MATI_rolling_min_14;MATI_rolling_max_14;JML_DEPLESI_rolling_mean_3;JML_DEPLESI_rolling_std_3;JML_DEPLESI_rolling_min_3;JML_DEPLESI_rolling_max_3;JML_DEPLESI_rolling_mean_7;JML_DEPLESI_rolling_std_7;JML_DEPLESI_rolling_min_7;JML_DEPLESI_rolling_max_7;JML_DEPLESI_rolling_mean_14;JML_DEPLESI_rolling_std_14;JML_DEPLESI_rolling_min_14;JML_DEPLESI_rolling_max_14;ABW_ACT_rolling_mean_3;ABW_ACT_rolling_std_3;ABW_ACT_rolling_min_3;ABW_ACT_rolling_max_3;ABW_ACT_rolling_mean_7;ABW_ACT_rolling_std_7;ABW_ACT_rolling_min_7;ABW_ACT_rolling_max_7;ABW_ACT_rolling_mean_14;ABW_ACT_rolling_std_14;ABW_ACT_rolling_min_14;ABW_ACT_rolling_max_14;DELTA_FCR_rolling_mean_3;DELTA_FCR_rolling_std_3;DELTA_FCR_rolling_min_3;DELTA_FCR_rolling_max_3;DELTA_FCR_rolling_mean_7;DELTA_FCR_rolling_std_7;DELTA_FCR_rolling_min_7;DELTA_FCR_rolling_max_7;DELTA_FCR_rolling_mean_14;DELTA_FCR_rolling_std_14;DELTA_FCR_rolling_min_14;DELTA_FCR_rolling_max_14;DELTA_PAKAN_GR/EKOR_rolling_mean_3;DELTA_PAKAN_GR/EKOR_rolling_std_3;DELTA_PAKAN_GR/EKOR_rolling_min_3;DELTA_PAKAN_GR/EKOR_rolling_max_3;DELTA_PAKAN_GR/EKOR_rolling_mean_7;DELTA_PAKAN_GR/EKOR_rolling_std_7;DELTA_PAKAN_GR/EKOR_rolling_min_7;DELTA_PAKAN_GR/EKOR_rolling_max_7;DELTA_PAKAN_GR/EKOR_rolling_mean_14;DELTA_PAKAN_GR/EKOR_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_min_14;DELTA_PAKAN_GR/EKOR_rolling_max_14;DELTA_DG_rolling_mean_3;DELTA_DG_rolling_std_3;DELTA_DG_rolling_min_3;DELTA_DG_rolling_max_3;DELTA_DG_rolling_mean_7;DELTA_DG_rolling_std_7;DELTA_DG_rolling_min_7;DELTA_DG_rolling_max_7;DELTA_DG_rolling_mean_14;DELTA_DG_rolling_std_14;DELTA_DG_rolling_min_14;DELTA_DG_rolling_max_14;PAKAN_DG_RATIO;AGE_SQUARED;AGE_CUBED;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;PAKAN_ACT_GR/EK_volatility_3;PAKAN_ACT_GR/EK_trend_slope_3;DG_ACT_momentum_1;DG_ACT_acceleration;DG_ACT_volatility_3;DG_ACT_trend_slope_3;MATI_momentum_1;MATI_acceleration;MATI_volatility_3;MATI_trend_slope_3;JML_DEPLESI_momentum_1;JML_DEPLESI_acceleration;JML_DEPLESI_volatility_3;JML_DEPLESI_trend_slope_3;ABW_ACT_momentum_1;ABW_ACT_acceleration;ABW_ACT_volatility_3;ABW_ACT_trend_slope_3;DELTA_FCR_momentum_1;DELTA_FCR_acceleration;DELTA_FCR_volatility_3;DELTA_FCR_trend_slope_3;DELTA_PAKAN_GR/EKOR_momentum_1;DELTA_PAKAN_GR/EKOR_acceleration;DELTA_PAKAN_GR/EKOR_volatility_3;DELTA_PAKAN_GR/EKOR_trend_slope_3;DELTA_DG_momentum_1;DELTA_DG_acceleration;DELTA_DG_volatility_3;DELTA_DG_trend_slope_3;GROWTH_CONSISTENCY_INDEX;FEED_EFFICIENCY_lag_1;GROWTH_STAGE
19/05/23;1;16;0;16;0.09;0.1;6.5;18;18;10;10;28.0;28.0;3.5;10;10;56;14;65.0;22;9;8;0.321;0.428;0.107;0;0;17984;18000;1;0.428;0.428;0.428;0.428;0.428;28.0;28.0;28.0;28.0;28.0;22.0;22.0;22.0;22.0;22.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;65.0;65.0;65.0;65.0;65.0;0.107;0.107;0.107;0.107;0.107;10.0;10.0;10.0;10.0;10.0;8.0;8.0;8.0;8.0;8.0;28.0;4.243;28.0;28.0;28.0;4.243;28.0;28.0;28.0;4.243;28.0;28.0;22.0;2.121;22.0;22.0;22.0;2.121;22.0;22.0;22.0;2.121;22.0;22.0;16.0;0.707;16.0;16.0;16.0;0.707;16.0;16.0;16.0;0.707;16.0;16.0;16.0;10.607;16.0;16.0;16.0;10.607;16.0;16.0;16.0;10.607;16.0;16.0;65.0;13.435;65.0;65.0;65.0;13.435;65.0;65.0;65.0;13.435;65.0;65.0;0.107;0.045;0.107;0.107;0.107;0.045;0.107;0.107;0.107;0.045;0.107;0.107;10.0;7.071;10.0;10.0;10.0;7.071;10.0;10.0;10.0;7.071;10.0;10.0;8.0;4.243;8.0;8.0;8.0;4.243;8.0;8.0;8.0;4.243;8.0;8.0;1.273;1;1;-6.0;17.0;12.021;2.5;-3.0;5.0;3.536;-0.5;-1.0;-8.0;5.657;-5.0;15.0;-9.0;6.364;10.5;19.0;2.0;1.414;20.0;-0.063;0.102;0.072;-0.012;-10.0;17.0;12.021;-1.5;-6.0;5.0;3.536;-3.5;0.103;2.336;1.0
20/05/23;2;15;0;31;0.17;0.23;7.9;22;40;8;18;22.0;50.0;0.1;0;10;73;17;84.0;19;11;2;0.549;0.593;0.044;0;0;17969;18000;1;0.428;0.428;0.428;0.428;0.428;28.0;28.0;28.0;28.0;28.0;22.0;22.0;22.0;22.0;22.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;65.0;65.0;65.0;65.0;65.0;0.107;0.107;0.107;0.107;0.107;10.0;10.0;10.0;10.0;10.0;8.0;8.0;8.0;8.0;8.0;25.0;4.243;22.0;28.0;25.0;4.243;22.0;28.0;25.0;4.243;22.0;28.0;20.5;2.121;19.0;22.0;20.5;2.121;19.0;22.0;20.5;2.121;19.0;22.0;15.5;0.707;15.0;16.0;15.5;0.707;15.0;16.0;15.5;0.707;15.0;16.0;23.5;10.607;16.0;31.0;23.5;10.607;16.0;31.0;23.5;10.607;16.0;31.0;74.5;13.435;65.0;84.0;74.5;13.435;65.0;84.0;74.5;13.435;65.0;84.0;0.076;0.045;0.044;0.107;0.076;0.045;0.044;0.107;0.076;0.045;0.044;0.107;5.0;7.071;0.0;10.0;5.0;7.071;0.0;10.0;5.0;7.071;0.0;10.0;5.0;4.243;2.0;8.0;5.0;4.243;2.0;8.0;5.0;4.243;2.0;8.0;1.158;4;8;-6.0;17.0;12.021;2.5;-3.0;5.0;3.536;-0.5;-1.0;-8.0;5.657;-5.0;15.0;-9.0;6.364;10.5;19.0;2.0;1.414;20.0;-0.063;0.102;0.072;-0.012;-10.0;17.0;12.021;-1.5;-6.0;5.0;3.536;-3.5;0.103;2.336;1.0
21/05/23;3;6;0;37;0.21;0.36;9.4;26;66;12;30;33.0;83.0;2.6;7;17;94;20;105.0;21;11;1;0.711;0.794;0.083;0;0;17963;18000;1;0.593;0.428;0.428;0.428;0.428;22.0;28.0;28.0;28.0;28.0;19.0;22.0;22.0;22.0;22.0;15.0;16.0;16.0;16.0;16.0;31.0;16.0;16.0;16.0;16.0;84.0;65.0;65.0;65.0;65.0;0.044;0.107;0.107;0.107;0.107;0.0;10.0;10.0;10.0;10.0;2.0;8.0;8.0;8.0;8.0;27.667;5.508;22.0;33.0;27.667;5.508;22.0;33.0;27.667;5.508;22.0;33.0;20.667;1.528;19.0;22.0;20.667;1.528;19.0;22.0;20.667;1.528;19.0;22.0;12.333;5.508;6.0;16.0;12.333;5.508;6.0;16.0;12.333;5.508;6.0;16.0;28.0;10.817;16.0;37.0;28.0;10.817;16.0;37.0;28.0;10.817;16.0;37.0;84.667;20.008;65.0;105.0;84.667;20.008;65.0;105.0;84.667;20.008;65.0;105.0;0.078;0.032;0.044;0.107;0.078;0.032;0.044;0.107;0.078;0.032;0.044;0.107;5.667;5.132;0.0;10.0;5.667;5.132;0.0;10.0;5.667;5.132;0.0;10.0;3.667;3.786;1.0;8.0;3.667;3.786;1.0;8.0;3.667;3.786;1.0;8.0;1.571;9;27;11.0;17.0;12.021;2.5;2.0;5.0;3.536;-0.5;-9.0;-8.0;5.657;-5.0;6.0;-9.0;6.364;10.5;21.0;2.0;1.414;20.0;0.039;0.102;0.072;-0.012;7.0;17.0;12.021;-1.5;-1.0;5.0;3.536;-3.5;0.074;1.686;1.0
22/05/23;4;16;0;53;0.29;0.49;10.8;30;96;14;44;39.0;122.0;3.2;9;26;117;24;135.0;30;18;6;0.826;0.909;0.083;0;0;17947;18000;1;0.794;0.593;0.428;0.428;0.428;33.0;22.0;28.0;28.0;28.0;21.0;19.0;22.0;22.0;22.0;6.0;15.0;16.0;16.0;16.0;37.0;31.0;16.0;16.0;16.0;105.0;84.0;65.0;65.0;65.0;0.083;0.044;0.107;0.107;0.107;7.0;0.0;10.0;10.0;10.0;1.0;2.0;8.0;8.0;8.0;31.333;8.622;22.0;39.0;30.5;7.234;22.0;39.0;30.5;7.234;22.0;39.0;23.333;5.859;19.0;30.0;23.0;4.83;19.0;30.0;23.0;4.83;19.0;30.0;12.333;5.508;6.0;16.0;13.25;4.856;6.0;16.0;13.25;4.856;6.0;16.0;40.333;11.372;31.0;53.0;34.25;15.305;16.0;53.0;34.25;15.305;16.0;53.0;108.0;25.632;84.0;135.0;97.25;30.004;65.0;135.0;97.25;30.004;65.0;135.0;0.07;0.023;0.044;0.083;0.079;0.026;0.044;0.107;0.079;0.026;0.044;0.107;5.333;4.726;0.0;9.0;6.5;4.509;0.0;10.0;6.5;4.509;0.0;10.0;3.0;2.646;1.0;6.0;4.25;3.304;1.0;8.0;4.25;3.304;1.0;8.0;1.3;16;64;6.0;-5.0;8.737;8.5;9.0;7.0;6.028;5.5;10.0;19.0;9.539;0.5;16.0;10.0;5.508;11.0;30.0;9.0;5.859;25.5;0.0;-0.039;0.051;0.02;2.0;-5.0;8.737;4.5;5.0;6.0;5.508;2.0;0.21;1.259;1.0
23/05/23;5;10;0;63;0.35;0.62;12.2;34;131;12;56;33.0;156.0;-0.2;-1;25;144;27;175.0;40;31;13;0.914;0.891;-0.023;0;0;17937;18000;1;0.909;0.794;0.593;0.428;0.428;39.0;33.0;22.0;28.0;28.0;30.0;21.0;19.0;22.0;22.0;16.0;6.0;15.0;16.0;16.0;53.0;37.0;31.0;16.0;16.0;135.0;105.0;84.0;65.0;65.0;0.083;0.083;0.044;0.107;0.107;9.0;7.0;0.0;10.0;10.0;6.0;1.0;2.0;8.0;8.0;35.0;3.464;33.0;39.0;31.0;6.364;22.0;39.0;31.0;6.364;22.0;39.0;30.333;9.504;21.0;40.0;26.4;8.678;19.0;40.0;26.4;8.678;19.0;40.0;10.667;5.033;6.0;16.0;12.6;4.45;6.0;16.0;12.6;4.45;6.0;16.0;51.0;13.115;37.0;63.0;40.0;18.466;16.0;63.0;40.0;18.466;16.0;63.0;138.333;35.119;105.0;175.0;112.8;43.407;65.0;175.0;112.8;43.407;65.0;175.0;0.048;0.061;-0.023;0.083;0.059;0.051;-0.023;0.107;0.059;0.051;-0.023;0.107;5.0;5.292;-1.0;9.0;5.0;5.148;-1.0;10.0;5.0;5.148;-1.0;10.0;6.667;6.028;1.0;13.0;6.0;4.848;1.0;13.0;6.0;4.848;1.0;13.0;0.825;25;125;-6.0;-12.0;8.737;0.0;10.0;1.0;4.359;9.5;-6.0;-16.0;10.214;2.0;10.0;-6.0;5.033;13.0;40.0;10.0;9.504;35.0;-0.106;-0.106;0.075;-0.053;-10.0;-12.0;8.737;-4.0;7.0;2.0;4.163;6.0;0.329;1.1;1.0
24/05/23;6;10;0;73;0.41;0.75;13.7;38;170;14;70;39.0;194.0;0.3;1;24;174;30;202.0;28;28;-3;0.979;0.963;-0.016;0;0;17927;18000;1;0.891;0.909;0.794;0.428;0.428;33.0;39.0;33.0;28.0;28.0;40.0;30.0;21.0;22.0;22.0;10.0;16.0;6.0;16.0;16.0;63.0;53.0;37.0;16.0;16.0;175.0;135.0;105.0;65.0;65.0;-0.023;0.083;0.083;0.107;0.107;-1.0;9.0;7.0;10.0;10.0;13.0;6.0;1.0;8.0;8.0;37.0;3.464;33.0;39.0;32.333;6.563;22.0;39.0;32.333;6.563;22.0;39.0;32.667;6.429;28.0;40.0;26.667;7.789;19.0;40.0;26.667;7.789;19.0;40.0;12.0;3.464;10.0;16.0;12.167;4.119;6.0;16.0;12.167;4.119;6.0;16.0;63.0;10.0;53.0;73.0;45.5;21.314;16.0;73.0;45.5;21.314;16.0;73.0;170.667;33.71;135.0;202.0;127.667;53.23;65.0;202.0;127.667;53.23;65.0;202.0;0.015;0.059;-0.023;0.083;0.046;0.055;-0.023;0.107;0.046;0.055;-0.023;0.107;3.0;5.292;-1.0;9.0;4.333;4.885;-1.0;10.0;4.333;4.885;-1.0;10.0;5.333;8.021;-3.0;13.0;4.5;5.683;-3.0;13.0;4.5;5.683;-3.0;13.0;1.393;36;216;6.0;12.0;6.928;-0.0;-12.0;-22.0;12.423;-1.0;0.0;6.0;8.083;-3.0;10.0;0.0;3.464;10.0;27.0;-13.0;6.807;33.5;0.007;0.113;0.063;-0.049;2.0;12.0;6.928;-4.0;-16.0;-23.0;12.741;-4.5;0.292;1.122;1.0
25/05/23;7;7;0;80;0.44;0.68;15.5;43;210;16;86;44.0;239.0;0.5;1;29;205;33;227.0;25;22;-8;1.029;1.052;0.023;270;305;17920;18000;1;0.963;0.891;0.909;0.428;0.428;39.0;33.0;39.0;28.0;28.0;28.0;40.0;30.0;22.0;22.0;10.0;10.0;16.0;16.0;16.0;73.0;63.0;53.0;16.0;16.0;202.0;175.0;135.0;65.0;65.0;-0.016;-0.023;0.083;0.107;0.107;1.0;-1.0;9.0;10.0;10.0;-3.0;13.0;6.0;8.0;8.0;38.667;5.508;33.0;44.0;34.0;7.439;22.0;44.0;34.0;7.439;22.0;44.0;31.0;7.937;25.0;40.0;26.429;7.138;19.0;40.0;26.429;7.138;19.0;40.0;9.0;1.732;7.0;10.0;11.429;4.237;6.0;16.0;11.429;4.237;6.0;16.0;72.0;8.544;63.0;80.0;50.429;23.423;16.0;80.0;50.429;23.423;16.0;80.0;201.333;26.006;175.0;227.0;141.857;61.407;65.0;227.0;141.857;61.407;65.0;227.0;-0.005;0.025;-0.023;0.023;0.043;0.051;-0.023;0.107;0.043;0.051;-0.023;0.107;0.333;1.155;-1.0;1.0;3.857;4.634;-1.0;10.0;3.857;4.634;-1.0;10.0;0.667;10.97;-8.0;13.0;2.714;7.017;-8.0;13.0;2.714;7.017;-8.0;13.0;1.76;49;343;5.0;-1.0;6.658;5.5;-3.0;9.0;11.06;-7.5;-3.0;-3.0;3.0;-1.5;7.0;-3.0;1.732;8.5;25.0;-2.0;8.145;26.0;0.039;0.032;0.076;0.023;0.0;-2.0;6.429;1.0;-5.0;11.0;11.504;-10.5;0.27;1.038;1.0
26/05/23;8;8;0;88;0.49;1.01;16.2;45;260;16;102;44.0;283.0;-0.2;-1;23;244;37;260.0;33;16;-4;1.068;1.09;0.022;268;295;17912;18000;1;1.052;0.963;0.891;0.428;0.428;44.0;39.0;33.0;28.0;28.0;25.0;28.0;40.0;22.0;22.0;7.0;10.0;10.0;16.0;16.0;80.0;73.0;63.0;16.0;16.0;227.0;202.0;175.0;65.0;65.0;0.023;-0.016;-0.023;0.107;0.107;1.0;1.0;-1.0;10.0;10.0;-8.0;-3.0;13.0;8.0;8.0;42.333;2.887;39.0;44.0;36.286;7.74;22.0;44.0;35.25;7.741;22.0;44.0;28.667;4.041;25.0;33.0;28.0;7.211;19.0;40.0;27.25;7.005;19.0;40.0;8.333;1.528;7.0;10.0;10.286;3.861;6.0;16.0;11.0;4.106;6.0;16.0;80.333;7.506;73.0;88.0;60.714;21.515;31.0;88.0;55.125;25.43;16.0;88.0;229.667;29.092;202.0;260.0;169.714;64.863;84.0;260.0;156.625;70.547;65.0;260.0;0.01;0.022;-0.016;0.023;0.031;0.043;-0.023;0.083;0.04;0.048;-0.023;0.107;0.333;1.155;-1.0;1.0;2.286;4.03;-1.0;9.0;3.25;4.621;-1.0;10.0;-5.0;2.646;-8.0;-3.0;1.0;6.976;-8.0;13.0;1.875;6.917;-8.0;13.0;1.333;64;512;0.0;-5.0;3.215;2.5;8.0;11.0;10.017;2.5;1.0;4.0;2.082;-1.0;8.0;1.0;1.528;7.5;33.0;8.0;4.163;29.0;-0.001;-0.04;0.021;0.019;-2.0;-2.0;2.0;-1.0;4.0;9.0;10.017;-0.5;0.258;0.951;2.0
27/05/23;9;10;0;98;0.54;1.14;19.1;53;312;19;121;53.0;336.0;-0.1;0;24;285;41;306.0;46;21;5;1.099;1.098;-0.001;274;306;17902;18000;1;1.09;1.052;0.963;0.593;0.428;44.0;44.0;39.0;22.0;28.0;33.0;25.0;28.0;19.0;22.0;8.0;7.0;10.0;15.0;16.0;88.0;80.0;73.0;31.0;16.0;260.0;227.0;202.0;84.0;65.0;0.022;0.023;-0.016;0.044;0.107;-1.0;1.0;1.0;0.0;10.0;-4.0;-8.0;-3.0;2.0;8.0;47.0;5.196;44.0;53.0;40.714;7.041;33.0;53.0;37.222;9.351;22.0;53.0;34.667;10.599;25.0;46.0;31.857;8.668;21.0;46.0;29.333;9.055;19.0;46.0;8.333;1.528;7.0;10.0;9.571;3.259;6.0;16.0;10.889;3.855;6.0;16.0;88.667;9.018;80.0;98.0;70.286;20.99;37.0;98.0;59.889;27.751;16.0;98.0;264.333;39.678;227.0;306.0;201.429;70.035;105.0;306.0;173.222;82.668;65.0;306.0;0.015;0.014;-0.001;0.023;0.024;0.044;-0.023;0.083;0.036;0.047;-0.023;0.107;0.0;1.0;-1.0;1.0;2.286;4.03;-1.0;9.0;2.889;4.457;-1.0;10.0;-2.333;6.658;-8.0;5.0;1.429;7.138;-8.0;13.0;2.222;6.553;-8.0;13.0;1.152;81;729;9.0;9.0;4.509;4.5;13.0;5.0;8.185;10.5;2.0;1.0;2.646;1.5;10.0;2.0;1.528;9.0;46.0;13.0;10.599;39.5;-0.023;-0.022;0.031;-0.012;1.0;3.0;1.528;-0.5;9.0;5.0;7.095;6.5;0.272;0.917;2.0
28/05/23;10;6;0;104;0.58;1.27;20.2;56;372;20;141;56.0;392.0;-0.2;0;20;330;45;340.0;34;10;-11;1.129;1.152;0.023;281;292;17896;18000;1;1.098;1.09;1.052;0.794;0.428;53.0;44.0;44.0;33.0;28.0;46.0;33.0;25.0;21.0;22.0;10.0;8.0;7.0;6.0;16.0;98.0;88.0;80.0;37.0;16.0;306.0;260.0;227.0;105.0;65.0;-0.001;0.022;0.023;0.083;0.107;0.0;-1.0;1.0;7.0;10.0;5.0;-4.0;-8.0;1.0;8.0;51.0;6.245;44.0;56.0;44.0;8.124;33.0;56.0;39.1;10.63;22.0;56.0;37.667;7.234;33.0;46.0;33.714;7.228;25.0;46.0;29.8;8.664;19.0;46.0;8.0;2.0;6.0;10.0;9.571;3.259;6.0;16.0;10.4;3.95;6.0;16.0;96.667;8.083;88.0;104.0;79.857;18.398;53.0;104.0;64.3;29.65;16.0;104.0;302.0;40.15;260.0;340.0;235.0;72.392;135.0;340.0;189.9;94.107;65.0;340.0;0.015;0.014;-0.001;0.023;0.016;0.035;-0.023;0.083;0.034;0.044;-0.023;0.107;-0.333;0.577;-1.0;0.0;1.286;3.498;-1.0;9.0;2.6;4.3;-1.0;10.0;-3.333;8.021;-11.0;5.0;-0.286;8.558;-11.0;13.0;0.9;7.46;-11.0;13.0;1.647;100;1000;3.0;-6.0;4.583;6.0;-12.0;-25.0;13.229;0.5;-4.0;-6.0;3.215;-1.0;6.0;-4.0;2.0;8.0;34.0;-12.0;7.234;40.0;0.024;0.047;0.024;0.0;0.0;-1.0;1.528;0.5;-16.0;-25.0;13.229;-3.5;0.214;0.911;2.0
29/05/23;11;7;0;111;0.62;1.4;22.7;63;435;21;162;58.0;450.0;-1.7;-5;15;380;49;396.0;56;16;7;1.149;1.138;-0.011;289;312;17889;18000;1;1.152;1.098;1.09;0.909;0.428;56.0;53.0;44.0;39.0;28.0;34.0;46.0;33.0;30.0;22.0;6.0;10.0;8.0;16.0;16.0;104.0;98.0;88.0;53.0;16.0;340.0;306.0;260.0;135.0;65.0;0.023;-0.001;0.022;0.083;0.107;0.0;0.0;-1.0;9.0;10.0;-11.0;5.0;-4.0;6.0;8.0;55.667;2.517;53.0;58.0;46.714;9.268;33.0;58.0;40.818;11.583;22.0;58.0;45.333;11.015;34.0;56.0;37.429;10.799;25.0;56.0;32.182;11.4;19.0;56.0;7.667;2.082;6.0;10.0;8.286;1.704;6.0;10.0;10.091;3.885;6.0;16.0;104.333;6.506;98.0;111.0;88.143;17.315;63.0;111.0;68.545;31.456;16.0;111.0;347.333;45.446;306.0;396.0;272.286;79.197;175.0;396.0;208.636;108.775;65.0;396.0;0.004;0.017;-0.011;0.023;0.002;0.02;-0.023;0.023;0.03;0.044;-0.023;0.107;-1.667;2.887;-5.0;0.0;-0.714;2.059;-5.0;1.0;1.909;4.679;-5.0;10.0;0.333;9.866;-11.0;7.0;-0.143;8.688;-11.0;13.0;1.455;7.313;-11.0;13.0;1.036;121;1331;2.0;-1.0;3.786;2.5;22.0;34.0;17.616;5.0;1.0;5.0;3.215;-1.5;7.0;1.0;2.082;6.5;56.0;22.0;11.015;45.0;-0.034;-0.058;0.031;-0.005;-5.0;-5.0;3.215;-2.5;18.0;34.0;17.616;1.0;0.289;0.868;2.0
30/05/23;12;9;0;120;0.67;1.53;24.5;68;506;24;186;67.0;517.0;-0.5;-1;11;434;54;446.0;51;12;-4;1.169;1.158;-0.011;297;317;17880;18000;1;1.138;1.152;1.098;0.891;0.428;58.0;56.0;53.0;33.0;28.0;56.0;34.0;46.0;40.0;22.0;7.0;6.0;10.0;10.0;16.0;111.0;104.0;98.0;63.0;16.0;396.0;340.0;306.0;175.0;65.0;-0.011;0.023;-0.001;-0.023;0.107;-5.0;0.0;0.0;-1.0;10.0;7.0;-11.0;5.0;13.0;8.0;60.333;5.859;56.0;67.0;51.571;9.778;39.0;67.0;43.0;13.382;22.0;67.0;47.0;11.533;34.0;56.0;39.0;11.972;25.0;56.0;33.75;12.152;19.0;56.0;7.333;1.528;6.0;9.0;8.143;1.574;6.0;10.0;10.0;3.717;6.0;16.0;111.667;8.021;104.0;120.0;96.286;16.919;73.0;120.0;72.833;33.469;16.0;120.0;394.0;53.028;340.0;446.0;311.0;89.307;202.0;446.0;228.417;124.304;65.0;446.0;0.0;0.02;-0.011;0.023;0.004;0.018;-0.016;0.023;0.027;0.044;-0.023;0.107;-2.0;2.646;-5.0;0.0;-0.714;2.059;-5.0;1.0;1.667;4.539;-5.0;10.0;-2.667;9.074;-11.0;7.0;-2.571;6.503;-11.0;7.0;1.0;7.148;-11.0;13.0;1.314;144;1728;9.0;7.0;3.786;5.5;-5.0;-27.0;17.954;8.5;2.0;1.0;3.215;1.5;9.0;2.0;1.528;8.0;50.0;-6.0;11.372;53.0;0.0;0.034;0.029;-0.017;4.0;9.0;4.509;-0.5;-11.0;-29.0;18.358;3.5;0.307;0.879;2.0
